branch,mean_coherence,standard_error_of_mean,z_score,p_value,z_alpha,decision_test,z_alpha_bonferroni_corrected,decision_bonferroni_corrected,branch_length,number_of_sites,rate_category
"(A1, Node1*)",0.9754,0.0649,15.0366,0.0,2.3263,Informative,3.2087,Informative,0.03171877186944,237,c2
"(A2, Node1*)",0.9887,0.0646,15.3005,0.0,2.3263,Informative,3.2087,Informative,0.01941707581944,237,c2
"(Node2*, Node1*)",0.9796,0.0641,15.2742,0.0,2.3263,Informative,3.384,Informative,0.01665571643136,237,c2
"(Node3*, Node2*)",0.9791,0.0648,15.1186,0.0,2.3263,Informative,3.384,Informative,0.02108173607376,237,c2
"(Node4*, Node2*)",0.9647,0.0643,15.0036,0.0,2.3263,Informative,3.5293,Informative,0.01802968476488,237,c2
"(A3, Node3*)",0.9898,0.0646,15.3266,0.0,2.3263,Informative,3.2087,Informative,0.02224962300736,237,c2
"(A4, Node3*)",0.9839,0.0648,15.1851,0.0,2.3263,Informative,3.2087,Informative,0.018817102803599998,237,c2
"(Node5*, Node4*)",0.9759,0.0649,15.0377,0.0,2.3263,Informative,3.5293,Informative,0.04266601701864,237,c2
"(Node8*, Node4*)",0.6693,0.0632,10.5835,0.0,2.3263,Informative,3.6047,Informative,1.7130226568064,237,c2
"(Node6*, Node5*)",0.9963,0.0652,15.2697,0.0,2.3263,Informative,3.384,Informative,0.023057732476480002,237,c2
"(Node7*, Node5*)",0.995,0.0652,15.2665,0.0,2.3263,Informative,3.384,Informative,0.02466354905616,237,c2
"(Node9*, Node8*)",0.9121,0.0609,14.9725,0.0,2.3263,Informative,3.5293,Informative,0.01349470379192,237,c2
"(Node12*, Node8*)",0.933,0.062,15.0478,0.0,2.3263,Informative,3.5293,Informative,0.06891382696216,237,c2
"(A5, Node6*)",1.0016,0.0653,15.3351,0.0,2.3263,Informative,3.2087,Informative,0.026024048651839996,237,c2
"(A6, Node6*)",1.0084,0.0652,15.4776,0.0,2.3263,Informative,3.2087,Informative,0.03418402040784,237,c2
"(A7, Node7*)",0.9995,0.0653,15.3096,0.0,2.3263,Informative,3.2087,Informative,0.01776490343352,237,c2
"(A8, Node7*)",1.0047,0.0651,15.4345,0.0,2.3263,Informative,3.2087,Informative,0.042037810418879995,237,c2
"(Node10*, Node9*)",0.9348,0.0615,15.2089,0.0,2.3263,Informative,3.384,Informative,0.02101688545144,237,c2
"(Node11*, Node9*)",0.9319,0.0621,15.0114,0.0,2.3263,Informative,3.384,Informative,0.031923349706,237,c2
"(Node13*, Node12*)",0.9432,0.0618,15.2668,0.0,2.3263,Informative,3.384,Informative,0.0295643876412,237,c2
"(Node14*, Node12*)",0.9429,0.0621,15.1931,0.0,2.3263,Informative,3.384,Informative,0.043206221279839994,237,c2
"(B1, Node10*)",0.9348,0.0636,14.6947,0.0,2.3263,Informative,3.2087,Informative,0.02719000762384,237,c2
"(B2, Node10*)",0.9459,0.0632,14.9747,0.0,2.3263,Informative,3.2087,Informative,0.02058738205072,237,c2
"(B3, Node11*)",0.9441,0.0633,14.9153,0.0,2.3263,Informative,3.2087,Informative,0.040606966601439996,237,c2
"(B4, Node11*)",0.944,0.0631,14.9533,0.0,2.3263,Informative,3.2087,Informative,0.023691655359039998,237,c2
"(B5, Node13*)",0.9538,0.0636,15.009,0.0,2.3263,Informative,3.2087,Informative,0.019333897322399998,237,c2
"(B6, Node13*)",0.9537,0.0635,15.0224,0.0,2.3263,Informative,3.2087,Informative,0.03693253508384,237,c2
"(B7, Node14*)",0.9523,0.0636,14.9845,0.0,2.3263,Informative,3.2087,Informative,0.02573603509856,237,c2
"(B8, Node14*)",0.9534,0.0635,15.0192,0.0,2.3263,Informative,3.2087,Informative,0.03989138667008,237,c2
