branch,mean_coherence,standard_error_of_mean,z_score,p_value,z_alpha,decision_test,z_alpha_bonferroni_corrected,decision_bonferroni_corrected,branch_length,number_of_sites,rate_category
"(A1, Node1*)",0.9754,0.0646,15.1062,0.0,2.3263,Informative,3.2087,Informative,0.06677389853712,242,c3
"(A2, Node1*)",0.9949,0.0641,15.5311,0.0,2.3263,Informative,3.2087,Informative,0.04087654641837,242,c3
"(Node2*, Node1*)",0.9833,0.0643,15.282,0.0,2.3263,Informative,3.384,Informative,0.03506337268128,242,c3
"(Node3*, Node2*)",0.9918,0.0646,15.3476,0.0,2.3263,Informative,3.384,Informative,0.04438096504398,242,c3
"(Node4*, Node2*)",0.9436,0.0638,14.7846,0.0,2.3263,Informative,3.5293,Informative,0.03795583089099,242,c3
"(A3, Node3*)",1.0132,0.0644,15.7252,0.0,2.3263,Informative,3.2087,Informative,0.046839583679280004,242,c3
"(A4, Node3*)",1.0044,0.0649,15.4817,0.0,2.3263,Informative,3.2087,Informative,0.03961349192655,242,c3
"(Node5*, Node4*)",0.9617,0.0649,14.8189,0.0,2.3263,Informative,3.5293,Informative,0.08981988026247001,242,c3
"(Node8*, Node4*)",0.1804,0.0642,2.8112,0.0025,2.3263,Informative,3.6047,Saturated,3.6062304539472,242,c3
"(Node6*, Node5*)",0.9927,0.0658,15.0972,0.0,2.3263,Informative,3.384,Informative,0.048540804014040005,242,c3
"(Node7*, Node5*)",0.9989,0.0663,15.0684,0.0,2.3263,Informative,3.384,Informative,0.05192134578918,242,c3
"(Node9*, Node8*)",0.904,0.0609,14.8466,0.0,2.3263,Informative,3.5293,Informative,0.028408854715410003,242,c3
"(Node12*, Node8*)",0.9373,0.063,14.8816,0.0,2.3263,Informative,3.5293,Informative,0.14507638909593001,242,c3
"(A5, Node6*)",1.0118,0.0652,15.5126,0.0,2.3263,Informative,3.2087,Informative,0.054785449807319996,242,c3
"(A6, Node6*)",1.0136,0.0652,15.557,0.0,2.3263,Informative,3.2087,Informative,0.07196370400782,242,c3
"(A7, Node7*)",1.021,0.0654,15.6187,0.0,2.3263,Informative,3.2087,Informative,0.037398417072210005,242,c3
"(A8, Node7*)",1.0246,0.0654,15.666,0.0,2.3263,Informative,3.2087,Informative,0.08849738883924,242,c3
"(Node10*, Node9*)",0.9662,0.0637,15.1679,0.0,2.3263,Informative,3.384,Informative,0.04424444245437,242,c3
"(Node11*, Node9*)",0.9775,0.064,15.268,0.0,2.3263,Informative,3.384,Informative,0.06720457283175,242,c3
"(Node13*, Node12*)",0.9469,0.0628,15.0678,0.0,2.3263,Informative,3.384,Informative,0.062238520103850004,242,c3
"(Node14*, Node12*)",0.9425,0.063,14.971,0.0,2.3263,Informative,3.384,Informative,0.09095711043882,242,c3
"(B1, Node10*)",0.9753,0.0641,15.2127,0.0,2.3263,Informative,3.2087,Informative,0.05724000972582,242,c3
"(B2, Node10*)",0.9783,0.064,15.2933,0.0,2.3263,Informative,3.2087,Informative,0.043340258124060005,242,c3
"(B3, Node11*)",0.9848,0.0646,15.2475,0.0,2.3263,Informative,3.2087,Informative,0.08548519718562,242,c3
"(B4, Node11*)",0.9979,0.0642,15.5523,0.0,2.3263,Informative,3.2087,Informative,0.04987532927292,242,c3
"(B5, Node13*)",0.9619,0.0636,15.1255,0.0,2.3263,Informative,3.2087,Informative,0.0407014402527,242,c3
"(B6, Node13*)",0.9605,0.0634,15.1417,0.0,2.3263,Informative,3.2087,Informative,0.07774983724332,242,c3
"(B7, Node14*)",0.969,0.0636,15.2446,0.0,2.3263,Informative,3.2087,Informative,0.054179127851880005,242,c3
"(B8, Node14*)",0.9603,0.0641,14.9726,0.0,2.3263,Informative,3.2087,Informative,0.08397876869184,242,c3
